net,length_um
clknet_0_clk,512.01µm
_2054_,396.85µm
net179,393.08µm
net218,382.2µm
net189,378.49µm
net216,369.52µm
net224,363.53µm
net228,361.66µm
net195,360.16µm
net214,357.985µm
net399,352.37µm
net220,340.78µm
net200,337.87µm
net183,337.54µm
net222,332.03µm
clknet_3_0__leaf_clk,329.34µm
clknet_3_1__leaf_clk,329.16µm
clknet_3_3__leaf_clk,328.66µm
net358,328.5µm
net193,327.88µm
net212,324.51µm
_2036_,321.44µm
_2056_,321.33µm
_2000_,320.3µm
net198,319.855µm
_2037_,318.24µm
_2057_,318.08µm
net202,315.26µm
net210,315.03µm
net230,314.32µm
net446,312.26µm
net175,311.56µm
net208,310.91µm
net232,309.93µm
net171,308.84µm
net204,307.88µm
net181,303.86µm
net177,302.49µm
net250,302.36µm
net356,302.27µm
_2046_,300.67µm
net169,299.79µm
clknet_3_7__leaf_clk,299.12µm
_2022_,297.46µm
net237,296.88µm
net206,296.72µm
net185,292.46µm
net361,291.395µm
_2044_,290.15µm
_2043_,287.35µm
_2047_,285.14µm
_2042_,283.49µm
net226,282.99µm
_2055_,281.46µm
net187,279.86µm
clknet_3_6__leaf_clk,278.99µm
net191,278.06µm
_2033_,274.84µm
clknet_3_2__leaf_clk,269.04µm
net173,267.04µm
clk,263.81µm
clknet_3_5__leaf_clk,260.3µm
_2040_,258.15µm
net445,255.51µm
net364,249.3µm
net357,249.06µm
net415,238.07µm
_2023_,238.02µm
clknet_3_4__leaf_clk,236.74µm
_2045_,236.38µm
net362,234.42µm
net231,233.99µm
_2049_,230.45µm
_2025_,228.31µm
net365,226.72µm
_2058_,225.22µm
_2021_,220.7µm
net178,220.16µm
net190,216.92µm
net248,207.695µm
net363,207.43µm
net360,207.34µm
net382,207.34µm
net233,207.1µm
net174,207µm
net254,206.32µm
net385,204.89µm
_2019_,204.6µm
net180,203.86µm
net227,201.595µm
net359,200.075µm
_2050_,198.69µm
net407,198.03µm
net389,197.76µm
net188,196.68µm
net213,195.8µm
net196,195.78µm
net229,194.7µm
net207,194.52µm
net209,191.36µm
net223,189.52µm
net277,189.25µm
net199,189.02µm
net184,188.9µm
net406,188.81µm
_2035_,188.32µm
_2053_,188.14µm
net368,188.09µm
net288,187.68µm
net172,186.66µm
net373,186.32µm
net203,185.92µm
net434,185.12µm
net247,184.395µm
net253,183.64µm
_2059_,183.62µm
_2031_,182.635µm
net396,182.55µm
_2032_,182.36µm
net372,182.07µm
net272,179.96µm
net370,177.95µm
net388,177.38µm
net186,177.06µm
net378,176.34µm
net383,174.97µm
_2026_,174.44µm
net391,174.25µm
net211,172.8µm
net234,172.54µm
_2030_,172.52µm
net366,172.11µm
net170,171.71µm
net371,171.51µm
net221,171.39µm
net390,171.18µm
_2028_,170.32µm
net398,170.22µm
net379,169.91µm
net376,169.36µm
net219,167.4µm
net271,167.1µm
net387,166.95µm
net393,166.61µm
net201,165.83µm
net411,164.66µm
net410,160.14µm
net79,159.85µm
net429,159.76µm
net192,159.66µm
net412,159.08µm
net176,159.01µm
net374,158.78µm
net409,158.78µm
_2027_,158.53µm
_1720_,158.23µm
net225,157.99µm
net2,157.46µm
_1721_,156.71µm
net217,155.88µm
_1125_,155.5µm
net205,155.26µm
net256,154.5µm
net427,154.14µm
net251,153.16µm
net386,150.76µm
lsu.current_store_addr\[6\],150.18µm
net394,150.11µm
lsu.current_load_addr\[8\],147.885µm
net369,146.71µm
net269,146.59µm
net252,146.25µm
lsu.current_load_addr\[7\],146.175µm
net395,145.45µm
net397,144.84µm
net414,143.62µm
net284,143.58µm
net377,141.6µm
net245,141.26µm
net182,141.24µm
net367,140.88µm
net413,140.56µm
net215,140.53µm
net255,140.525µm
net422,139.34µm
clknet_leaf_11_clk,139.23µm
clknet_leaf_68_clk,138.42µm
net263,138.35µm
net279,137.24µm
net194,137.04µm
net290,136.78µm
net423,133.735µm
net264,133.54µm
_2052_,133.34µm
net430,133µm
net428,132.32µm
clknet_leaf_81_clk,131.76µm
net392,131.54µm
lsu.load_fifo.data_in\[31\],130.7µm
net424,130.18µm
clknet_leaf_87_clk,129.16µm
clknet_leaf_32_clk,129.06µm
net408,128.56µm
net380,128.41µm
net438,128.34µm
net436,128.3µm
net402,128.05µm
net375,127.84µm
lsu.current_load_addr\[5\],127.82µm
net276,127.1µm
clknet_leaf_70_clk,126.38µm
net401,125.89µm
clknet_leaf_80_clk,125.34µm
clknet_leaf_44_clk,124.32µm
net405,122.88µm
net266,121.88µm
lsu.current_load_addr\[19\],121.54µm
net165,121.24µm
net282,121.18µm
clknet_leaf_31_clk,117.92µm
lsu.current_load_addr\[0\],117.63µm
net244,117.4µm
clknet_leaf_45_clk,117.26µm
clknet_leaf_1_clk,115.2µm
net286,114.88µm
net443,114.26µm
clknet_leaf_3_clk,113.42µm
net404,113.2µm
net441,113.02µm
net439,112.79µm
_1666_,112.66µm
clknet_leaf_8_clk,111.82µm
