Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_106_625,VGND,li1,293.4800,299.2000,0.000824
FILLER_106_617,VGND,li1,291.1800,299.2000,0.000824
FILLER_106_615,VGND,li1,288.6500,299.2000,0.000824
FILLER_106_607,VGND,li1,286.5800,299.2000,0.000824
FILLER_106_595,VGND,li1,281.9800,299.2000,0.000824
FILLER_106_587,VGND,li1,275.7700,299.2000,0.000824
FILLER_106_581,VGND,li1,274.1600,299.2000,0.000824
FILLER_106_561,VGND,li1,264.0400,299.2000,0.000801
FILLER_106_553,VGND,li1,260.5900,299.2000,0.000781
FILLER_106_539,VGND,li1,253.6900,299.2000,0.000752
FILLER_106_533,VGND,li1,251.1600,299.2000,0.000740
FILLER_106_531,VGND,li1,250.0100,299.2000,0.000731
FILLER_106_524,VGND,li1,247.4800,299.2000,0.000715
FILLER_106_517,VGND,li1,244.2600,299.2000,0.000698
FILLER_106_511,VGND,li1,241.2700,299.2000,0.000683
FILLER_106_505,VGND,li1,238.2800,299.2000,0.000672
FILLER_106_503,VGND,li1,237.1300,299.2000,0.000662
FILLER_106_496,VGND,li1,234.6000,299.2000,0.000648
FILLER_106_492,VGND,li1,232.0700,299.2000,0.000638
FILLER_106_470,VGND,li1,222.1800,299.2000,0.000580
FILLER_106_399,VGND,li1,189.2900,299.2000,0.000384
FILLER_106_386,VGND,li1,183.5400,299.2000,0.000317
FILLER_106_365,VGND,li1,173.6500,299.2000,0.000321
FILLER_106_363,VGND,li1,172.7300,299.2000,0.000321
FILLER_106_356,VGND,li1,170.2000,299.2000,0.000356
FILLER_106_349,VGND,li1,166.9800,299.2000,0.000400
FILLER_106_342,VGND,li1,163.7600,299.2000,0.000444
FILLER_106_337,VGND,li1,161.0000,299.2000,0.000482
FILLER_106_309,VGND,li1,148.1200,299.2000,0.000638
FILLER_106_301,VGND,li1,144.2100,299.2000,0.000679
FILLER_106_293,VGND,li1,141.2200,299.2000,0.000694
FILLER_106_286,VGND,li1,138.0000,299.2000,0.000721
FILLER_106_281,VGND,li1,135.2400,299.2000,0.000744
FILLER_106_272,VGND,li1,131.5600,299.2000,0.000772
