,,,,,
,Accelerator Property,,,,
,Frequency (MHz),Average Time (seconds),Stddev Time (seconds),Average Power (W),Stddev Power (W)
,100,"49,46","1,47","52,39","5,22"
,220,"58,75","2,94","49,49","0,06"
,300,"53,59","0,12","49,44","0,05"
,325,"56,29","0,3","49,49","0,13"
,330,"56,27","0,36","49,51","0,08"
,,,,,
,,,,,
,Accelerator Maximum Minimum,,,,
,Frequency (MHz),Average Time (seconds),Stddev Time (seconds),Average Power (W),Stddev Power (W)
,100,"68,66","1,22","51,7","3,85"
,150,"73,35","0,25","49,63","0,15"
,170,"75,36","1,84","51,73","3,95"
,175,"69,5","1,33","49,7","0,09"
,180,"73,69","0,43","49,47","0,07"
,,,,,
,,,,,
,Accelerator Sum,,,,
,Frequency (MHz),Average Time (seconds),Stddev Time (seconds),Average Power (W),Stddev Power (W)
,100,"45,69","1,6","53,16","6,53"
,200,"45,14","0,29","49,36","0,26"
,280,"46,47","0,3","49,29","0,27"
,310,"46,68","1,5","52,6","5,47"
,315,"47,54","0,12","49,4","0,14"
,,,,,
,,,,,
,LSU with Accelerator Sum,,,,
,Frequency (MHz),Average Time (seconds),Stddev Time (seconds),Average Power (W),Stddev Power (W)
,100,"251,97","0,6","50,46","1,12"
,150,"242,37","0,34","49,81","0,03"
,160,"243,19","5,16","49,81","0,05"
,165,"255,23","2,96","49,77","0,05"
,170,"252,07","0,62","49,79","0,05"
